Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1995-03-30,502.2200012207031,504.6600036621094,501.0,503.1700134277344,362940000
1995-03-31,500.7099914550781,502.2200012207031,495.70001220703125,501.94000244140625,353060000
1995-04-03,501.8500061035156,501.9100036621094,500.20001220703125,500.70001220703125,296430000
1995-04-04,505.239990234375,505.260009765625,501.8500061035156,501.8500061035156,330580000
1995-04-05,505.57000732421875,505.57000732421875,503.1700134277344,505.2699890136719,315170000
1995-04-06,506.0799865722656,507.1000061035156,505.0,505.6300048828125,320460000
1995-04-07,506.4200134277344,507.19000244140625,503.5899963378906,506.1300048828125,314760000
1995-04-10,507.010009765625,507.010009765625,504.6099853515625,506.29998779296875,260980000
1995-04-11,505.5299987792969,508.8500061035156,505.2900085449219,507.239990234375,310660000
1995-04-12,507.1700134277344,507.1700134277344,505.07000732421875,505.5899963378906,327880000
1995-04-13,509.2300109863281,509.8299865722656,507.1700134277344,507.19000244140625,301580000
1995-04-17,506.1300048828125,512.030029296875,505.42999267578125,509.2300109863281,333930000
1995-04-18,505.3699951171875,507.6499938964844,504.1199951171875,506.42999267578125,344680000
1995-04-19,504.9200134277344,505.8900146484375,501.19000244140625,505.3699951171875,378050000
1995-04-20,505.2900085449219,506.5,503.44000244140625,504.9200134277344,368450000
1995-04-21,508.489990234375,508.489990234375,505.6300048828125,505.6300048828125,403250000
1995-04-24,512.8900146484375,513.02001953125,507.44000244140625,508.489990234375,326280000
1995-04-25,512.0999755859375,513.5399780273438,511.32000732421875,512.7999877929688,351790000
1995-04-26,512.6599731445312,513.0399780273438,510.4700012207031,511.989990234375,350810000
1995-04-27,513.5499877929688,513.6199951171875,511.6300048828125,512.7000122070312,350850000
1995-04-28,514.7100219726562,515.2899780273438,510.8999938964844,513.6400146484375,320440000
1995-05-01,514.260009765625,515.5999755859375,513.4199829101562,514.760009765625,296830000
1995-05-02,514.8599853515625,515.1799926757812,513.030029296875,514.22998046875,302560000
1995-05-03,520.47998046875,520.5399780273438,514.8599853515625,514.9299926757812,392370000
1995-05-04,520.5399780273438,525.4000244140625,519.4400024414062,520.47998046875,434990000
1995-05-05,520.1199951171875,522.3499755859375,518.280029296875,520.75,342380000
1995-05-08,523.9600219726562,525.1500244140625,519.1400146484375,520.0900268554688,291810000
