,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2016-08-23,406203,132620,40663,154714,260546,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.88999938964844,0.260539680898467,-105832,-10.944865532835129,91957,9.846011260193563,0.09896450416606463,0.2133504152167264,0.015278559173575124,-0.034228382068558716,0.1697007139567243,0.03440650334992293
2016-08-30,397673,145767,38110,138558,260076,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.72999954223633,0.30557266900191865,-121518,-3.8616159900345393,107657,3.865062542620316,0.041707430876443054,0.08538316374532975,-0.034228382068558716,0.0009165530008077294,0.17518669026035086,0.021976215614277008
2016-09-06,397815,145335,35475,137496,262772,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.7599983215332,0.314910196950844,-125276,-0.9449975230905794,109860,0.5539727363939719,0.009388709564591724,0.016962557380675848,0.0009165530008077294,-0.03693526088117416,0.1806091211464218,0.013130484051903663
2016-09-13,396331,144454,38242,140178,256117,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.549999237060547,0.29253073819610376,-115939,2.347070874652791,106212,-0.9170091625504316,0.023560731273420052,0.0199675964443666,-0.03693526088117416,0.07226632802310529,0.18591611362302304,-0.01383742986409721
2016-09-20,391699,147520,27665,134582,267514,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.83000183105469,0.3393728347532161,-132932,-4.287577807438732,119855,3.4423247235265473,0.04226105208706379,0.07787767217512914,0.07226632802310529,-0.020987373950366317,0.1921756277068833,0.0005046821450843381
2016-09-27,414929,159314,29515,135816,280606,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.119998931884766,0.34895126636123286,-144790,-3.0273245527816,129799,2.538684040551546,0.034402601207429,0.0722558505314332,-0.020987373950366317,-0.006944430847034444,0.19789963556944196,0.0038078026570052517
2016-10-04,414039,155872,31390,133574,273457,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.88999938964844,0.3378498160801277,-139883,1.1826119649385798,124482,-1.2814240508617136,0.0230719527505276,0.02839337398938386,-0.006944430847034444,0.008209196192586532,0.2024935295425378,0.001848106784268959
2016-10-11,433849,152931,38398,145759,274717,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.15999984741211,0.297241667031617,-128958,2.6386403213223875,114533,-2.402913735179536,0.03197566567414074,0.05199943552728546,0.008209196192586532,0.05759951315443601,0.20600553654074039,0.013050401708288301
2016-10-18,446688,165668,39608,140598,285970,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,35.06999969482422,0.3254441578909664,-145372,-3.7833439745164794,126060,2.656915193996068,0.038479210817501545,0.06794267230460453,0.05759951315443601,0.020815498961753942,0.20992225314964624,0.009424674043995985
2016-10-25,461990,177360,36821,141817,305795,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,35.79999923706055,0.35493841858048875,-163978,-4.1653234472383405,140539,3.2414123504549037,0.04701393170871201,0.06760170136473356,0.020815498961753942,-0.02653633472583994,0.21448236480367988,0.019724138299759244
2016-11-01,475067,190717,30557,152648,331311,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,34.849998474121094,0.37607958456386154,-178663,-3.1786402303080155,160160,4.247061624710492,0.0751034695087807,0.08867286712401819,-0.02653633472583994,0.013199509879792792,0.21978430997481535,0.014910255999167928
2016-11-08,470184,184595,34906,150250,320672,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,35.310001373291016,0.3624581015091964,-170422,1.7347026840424613,149689,-2.204110157093631,0.027683990130000297,0.04770365510863276,0.013199509879792792,-0.031152711584158,0.2254182352889778,0.016138615955705093
